City,FAA,IATA,ICAO,Airport,Role,Enplanements
Rochester,RST,RST,KRST,Rochester International Airport,P-N,"110,104"
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport (scheduled passenger service resumed Dec. 2012),P-N,"15,842"
Columbus / West Point / Starkville,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"41,140"
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport-Biloxi International Airport,P-N,"369,597"
Hattiesburg / Laurel,PIB,PIB,KPIB,Hattiesburg-Laurel Regional Airport,P-N,"10,633"
Jackson,JAN,JAN,KJAN,Jackson-Evers International Airport,P-S,"596,045"
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"45,714"
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"23,329"
Kansas City,MCI,MCI,KMCI,Kansas City International Airport,P-M,"4,836,221"
Springfield,SGF,SGF,KSGF,Springfield-Branson National Airport,P-N,"368,752"
St. Louis,STL,STL,KSTL,Lambert-St. Louis International Airport,P-M,"6,213,972"
Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,"387,368"
Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,"442,788"
Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"29,490"
Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"182,390"
Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,"97,310"
Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-N,"199,701"
Missoula,MSO,MSO,KMSO,Missoula International Airport,P-N,"298,253"
Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"57,165"
Kearney,EAR,EAR,KEAR,Kearney Regional Airport (was Kearney Municipal),P-N,"13,096"
Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"138,787"
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"1,977,480"
Scottsbluff,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),P-N,"10,155"
Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"103,972"
Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,"19,510"
Las Vegas,LAS,LAS,KLAS,McCarran International Airport,P-L,"19,923,594"
Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,"1,672,139"
Lebanon,LEB,LEB,KLEB,Lebanon Municipal Airport,P-N,"10,953"
Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,"1,190,082"
Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,"534,204"
Trenton,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,"148,256"
Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"17,514,139"
Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,477,960"
Farmington,FMN,FMN,KFMN,Four Corners Regional Airport,P-N,"14,263"
Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,"17,246"
Roswell,ROW,ROW,KROW,Roswell International Air Center,P-N,"32,616"
Santa Fe,SAF,SAF,KSAF,Santa Fe Municipal Airport (scheduled passenger service resumed 2009),P-N,"65,845"
Albany,ALB,ALB,KALB,Albany International Airport,P-S,"1,196,753"
Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,"95,210"
Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,"2,568,018"
Elmira / Corning,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,"129,749"
Islip,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,"662,612"
Ithaca,ITH,ITH,KITH,Ithaca Tompkins Regional Airport,P-N,"103,722"
New York,JFK,JFK,KJFK,John F. Kennedy International Airport,P-L,"25,036,855"
New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"13,353,365"
Newburgh,SWF,SWF,KSWF,Stewart International Airport,P-N,"163,815"
Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"98,958"
Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"151,235"
Rochester,ROC,ROC,KROC,Greater Rochester International Airport,P-S,"1,209,532"
Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,"991,663"
Watertown,ART,ART,KART,Watertown International Airport,P-N,"18,818"
White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,"770,550"
Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-N,"342,731"
Charlotte,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,"21,347,428"
Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,"244,345"
Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"860,124"
Greenville,PGV,PGV,KPGV,Pitt-Greenville Airport,P-N,"60,020"
Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"167,528"
New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,"121,479"
Raleigh,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,"4,482,973"
Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-S,"397,737"
Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,"238,929"
Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,"34,979"
Fargo,FAR,FAR,KFAR,Hector International Airport,P-S,"403,786"
Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,"148,663"
Minot,MOT,MOT,KMOT,Minot International Airport,P-N,"220,787"
Williston,ISN,ISN,KISN,Sloulin Field International Airport,P-N,"96,078"
Akron / Canton,CAK,CAK,KCAK,Akron-Canton Regional Airport,P-S,"852,332"
Cleveland,CLE,CLE,KCLE,Cleveland-Hopkins International Airport,P-M,"4,375,822"
Columbus,CMH,CMH,KCMH,Port Columbus International Airport,P-M,"3,065,569"
Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,"17,765"
Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,"1,244,841"
Toledo,TOL,TOL,KTOL,Toledo Express Airport,P-N,"86,221"
Youngstown / Warren,YNG,YNG,KYNG,Youngstown-Warren Regional Airport / Youngstown ARS,P-N,"47,518"
Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,"55,526"
Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport,P-S,"1,790,407"
Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,"1,323,943"
Eugene,EUG,EUG,KEUG,Eugene Airport (Mahlon Sweet Field),P-S,"434,095"
Klamath Falls,LMT,LMT,KLMT,Klamath Falls Airport (Kingsley Field),P-N,"13,433"
Medford,MFR,MFR,KMFR,Rogue Valley International-Medford Airport,P-N,"306,450"
North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,"16,864"
Portland,PDX,PDX,KPDX,Portland International Airport,P-L,"7,453,098"
Redmond,RDM,RDM,KRDM,Redmond Municipal Airport (Roberts Field),P-N,"236,303"
Allentown,ABE,ABE,KABE,Lehigh Valley International Airport,P-N,"301,969"
Erie,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,"109,520"
Harrisburg / Middletown,MDT,MDT,KMDT,Harrisburg International Airport,P-S,"657,650"
Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"127,040"
Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"14,705,014"
Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"3,813,007"
State College,UNV,SCE,KUNV,University Park Airport,P-N,"131,220"
Wilkes-Barre / Scranton,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,"216,536"
Williamsport,IPT,IPT,KIPT,Williamsport Regional Airport,P-N,"23,371"
Providence / Warwick,PVD,PVD,KPVD,Theodore Francis Green State Airport,P-M,"1,951,566"
Westerly,WST,WST,KWST,Westerly State Airport,P-N,"11,402"
Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-S,"2,593,063"
Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,"491,921"
Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,"67,745"
Greer,GSP,GSP,KGSP,Greenville-Spartanburg International Airport (Roger Milliken Field),P-S,"936,288"
Hilton Head Island,HXD,HHH,KHXD,Hilton Head Airport,P-N,"61,705"
Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,"722,775"
Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,"20,089"
Pierre,PIR,PIR,KPIR,Pierre Regional Airport,P-N,"14,686"
Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-N,"284,126"
Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-N,"355,939"
Bristol / Johnson City / Kingsport,TRI,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA),P-N,"202,114"
Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-N,"292,830"
Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,"804,917"
Memphis,MEM,MEM,KMEM,Memphis International Airport,P-M,"4,930,935"
Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,"4,432,527"
Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,"73,605"
Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-S,"394,593"
Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-M,"4,201,136"
Beaumont / Port Arthur,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,"17,394"
Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,"84,401"
College Station,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field),P-N,"72,188"
Corpus Christi / Kingsville,CRP,CRP,KCRP,Corpus Christi International Airport,P-S,"339,193"
Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,"3,783,407"
Dallas-Fort Worth,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,"27,100,656"
Del Rio,DRT,DRT,KDRT,Del Rio International Airport,P-N,"13,180"
El Paso,ELP,ELP,KELP,El Paso International Airport,P-S,"1,509,093"
Fort Hood / Killeen / Temple,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,"243,861"
Harlingen,HRL,HRL,KHRL,Valley International Airport,P-S,"373,438"
Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,"19,528,631"
Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"4,357,835"
Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,"112,520"
Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"21,830"
Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"508,858"
McAllen,MFE,MFE,KMFE,McAllen-Miller International Airport (McAllen Miller International),P-S,"344,302"
Midland,MAF,MAF,KMAF,Midland International Airport,P-S,"445,043"
San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"56,021"
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"3,916,320"
Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"74,357"
Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,"61,401"
Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,"44,296"
Provo,PVU,PVU,KPVU,"Provo Municipal Airport (14,858 enplanements in 2011)[1]",P-N [nb 6],"1,124"
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"9,910,493"
St. George / Beaver,SGU,SGU,KSGU,St. George Municipal Airport (opened 2011),P-N [nb 7],"37,596"
Wendover,ENV,ENV,KENV,Wendover Airport (charter flights),P-N [nb 8],"50,734"
Burlington,BTV,BTV,KBTV,Burlington International Airport,P-S,"640,790"
Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,"197,776"
Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"93,772"
Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport,P-S,"519,906"
Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,"1,663,294"
Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"1,651,131"
Roanoke,ROA,ROA,KROA,Roanoke Regional Airport (Woodrum Field),P-N,"316,478"
Staunton / Waynesboro / Harrisonburg,SHD,SHD,KSHD,Shenandoah Valley Regional Airport,P-N [nb 9],"10,408"
"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"8,736,804"
"Washington, D.C. / Chantilly / Dulles",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"11,276,481"
Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-N,"398,368"
Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,381"
Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-N,"312,915"
Port Angeles,CLM,CLM,KCLM,William R. Fairchild International Airport,P-N,"10,616"
"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,"35,248"
Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"33,656"
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"15,406,243"
Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"1,545,115"
Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"29,064"
Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"46,837"
Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"53,832"
Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,"264,818"
Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"10,694"
Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"115,263"
Lewisburg,LWB,LWB,KLWB,Greenbrier Valley Airport,P-N [nb 10],"12,293"
Morgantown,MGW,MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),P-N,"11,249"
Appleton,ATW,ATW,KATW,Outagamie County Regional Airport,P-N,"259,340"
Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"18,762"
Green Bay,GRB,GRB,KGRB,Austin Straubel International Airport,P-S,"410,348"
La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"111,462"
Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"728,075"
Milwaukee,MKE,MKE,KMKE,General Mitchell International Airport,P-M,"3,861,333"
Wausau,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"154,312"
Rhinelander,RHI,RHI,KRHI,Rhinelander-Oneida County Airport,P-N,"26,193"
Casper,CPR,CPR,KCPR,Casper/Natrona County International Airport,P-N,"74,167"
Cheyenne,CYS,CYS,KCYS,Cheyenne Regional Airport (Jerry Olson Field),P-N,"16,697"
Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"25,863"
Gillette,GCC,GCC,KGCC,Gillette-Campbell County Airport,P-N,"28,232"
Jackson,JAC,JAC,KJAC,Jackson Hole Airport,P-N,"305,566"
Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"10,371"
Riverton,RIW,RIW,KRIW,Riverton Regional Airport,P-N,"17,035"
Rock Springs,RKS,RKS,KRKS,Rock Springs – Sweetwater County Airport,P-N,"25,541"
Sheridan,SHR,SHR,KSHR,Sheridan County Airport,P-N,"17,710"
"Pago Pago, Tutuila",PPG,PPG,NSTU,Pago Pago International Airport,P-N,"49,479"
Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-S,"1,488,187"
"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-S,"448,177"
Rota Island,GRO,ROP,PGRO,Rota International Airport,P-N,"10,092"
Aguadilla,BQN,BQN,TJBQ,Rafael Hernández International Airport,P-N,"240,270"
Ponce,PSE,PSE,TJPS,Mercedita International Airport,P-N,"110,159"
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"4,635,798"
San Juan / Miramar,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N [nb 11],"13,837"
Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,"21,517"
"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,P-S,"593,589"
"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,"169,665"
